BACENO;A534
BACOLI;A535
BADALUCCO;A536
BADESI;M214
BADIA;A537
BADIA CALAVENA;A540
BADIA PAVESE;A538
BADIA POLESINE;A539
BADIA TEDALDA;A541
BADOLATO;A542
BAGALADI;A544
BAGHERIA;A546
BAGNACAVALLO;A547
BAGNARA CALABRA;A552
BAGNARA DI ROMAGNA;A551
BAGNARIA;A550
BAGNARIA ARSA;A553
BAGNASCO;A555
BAGNATICA;A557
BAGNI DI LUCCA;A560
BAGNO A RIPOLI;A564
BAGNO DI ROMAGNA;A565
BAGNOLI DEL TRIGNO;A567
BAGNOLI DI SOPRA;A568
BAGNOLI IRPINO;A566
BAGNOLO CREMASCO;A570
BAGNOLO DEL SALENTO;A572
BAGNOLO DI PO;A574
BAGNOLO IN PIANO;A573
BAGNOLO MELLA;A569
BAGNOLO PIEMONTE;A571
BAGNOLO SAN VITO;A575
BAGNONE;A576
BAGNOREGIO;A577
BAGOLINO;A578
BAIA E LATINA;A579
BAIANO;A580
BAIARDO;A581
BAIRO;A584
BAISO;A586
BALANGERO;A587
BALDICHIERI D'ASTI;A588
BALDISSERO CANAVESE;A590
BALDISSERO D'ALBA;A589
BALDISSERO TORINESE;A591
BALESTRATE;A592
BALESTRINO;A593
BALLABIO;A594
BALLAO;A597
BALME;A599
BALMUCCIA;A600
BALOCCO;A601
BALSORANO;A603
BALVANO;A604
BALZOLA;A605
BANARI;A606
BANCHETTE;A607
BANNIO ANZINO;A610
BANZI;A612
BAONE;A613
BARADILI;A614
BARAGIANO;A615
BARANELLO;A616
BARANO D'ISCHIA;A617
BARASSO;A619
BARATILI SAN PIETRO;A621
BARBANIA;A625
BARBARA;A626
BARBARANO ROMANO;A628
BARBARANO VICENTINO;A627
BARBARESCO;A629
BARBARIGA;A630
BARBATA;A631
BARBERINO DI MUGELLO;A632
BARBERINO VAL D'ELSA;A633
BARBIANELLO;A634
BARBIANO;A635
BARBONA;A637
BARCELLONA POZZO DI;A638
BARCHI;A639
BARCIS;A640
BARD;A643
BARDELLO;A645
BARDI;A646
BARDINETO;A647
BARDOLINO;A650
BARDONECCHIA;A651
BAREGGIO;A652
BARENGO;A653
BARESSA;A655
BARETE;A656
BARGA;A657
BARGAGLI;A658
BARGE;A660
BARGHE;A661
BARI;A662
BARI SARDO;A663
BARIANO;A664
BARICELLA;A665
BARILE;A666
BARISCIANO;A667
BARLASSINA;A668
BARLETTA;A669
BARNI;A670
BAROLO;A671
BARONE CANAVESE;A673
BARONISSI;A674
BARRAFRANCA;A676
BARRALI;A677
BARREA;A678
BARUMINI;A681
BARZAGO;A683
BARZANA;A684
BARZANO';A686
BARZIO;A687
BASALUZZO;A689
BASCAPE';A690
BASCHI;A691
BASCIANO;A692
BASELGA DI PINE';A694
BASELICE;A696
BASIANO;A697
BASICO';A698
BASIGLIO;A699
BASILIANO;A700
BASSANO BRESCIANO;A702
BASSANO DEL GRAPPA;A703
BASSANO IN TEVERINA;A706
BASSANO ROMANO;A704
BASSIANO;A707
BASSIGNANA;A708
BASTIA;A710
BASTIA MONDOVI';A709
BASTIDA DE' DOSSI;A711
BASTIDA PANCARANA;A712
BASTIGLIA;A713
BATTAGLIA TERME;A714
BATTIFOLLO;A716
BATTIPAGLIA;A717
BATTUDA;A718
BAUCINA;A719
BAULADU;A721
BAUNEI;A722
BAVENO;A725
BAZZANO;A726
BEDERO VALCUVIA;A728
BEDIZZOLE;A729
BEDOLLO;A730
BEDONIA;A731
BEDULITA;A732
BEE;A733
BEINASCO;A734
BEINETTE;A735
BELCASTRO;A736
BELFIORE;A737
BELFORTE ALL'ISAURO;A740
BELFORTE DEL CHIENTI;A739
BELFORTE MONFERRATO;A738
BELGIOIOSO;A741
BELGIRATE;A742
BELLA;A743
BELLAGIO;A744
BELLANO;A745
BELLANTE;A746
BELLARIA IGEA MARINA;A747
BELLEGRA;A749
BELLINO;A750
BELLINZAGO LOMBARDO;A751
BELLINZAGO NOVARESE;A752
BELLONA;A755
BELLOSGUARDO;A756
BELLUNO;A757
BELLUSCO;A759
BELMONTE CALABRO;A762
BELMONTE CASTELLO;A763
BELMONTE DEL SANNIO;A761
BELMONTE IN SABINA;A765
BELMONTE MEZZAGNO;A764
BELMONTE PICENO;A760
BELPASSO;A766
BELSITO;A768
BELVEDERE DI SPINELLO;A772
BELVEDERE LANGHE;A774
BELVEDERE MARITTIMO;A773
BELVEDERE OSTRENSE;A769
BELVEGLIO;A770
BELVI;A776
BEMA;A777
BENE LARIO;A778
BENE VAGIENNA;A779
BENESTARE;A780
BENETUTTI;A781
BENEVELLO;A782
BENEVENTO;A783
BENNA;A784
BENTIVOGLIO;A785
BERBENNO;A786
BERBENNO DI VALTELLI;A787
BERCETO;A788
BERCHIDDA;A789
BEREGAZZO CON FIGLIA;A791
BEREGUARDO;A792
BERGAMASCO;A793
BERGAMO;A794
BERGEGGI;A796
BERGOLO;A798
BERLINGO;A799
BERNALDA;A801
BERNAREGGIO;A802
BERNATE TICINO;A804
BERNEZZO;A805
BERRA;A806
BERSONE;A808
BERTINORO;A809
BERTIOLO;A810
BERTONICO;A811
BERZANO DI SAN PIETRO;A812
BERZANO DI TORTONA;A813
BERZO DEMO;A816
BERZO INFERIORE;A816
BERZO SAN FERMO;A815
