CA' D'ANDREA;B320
CABELLA LIGURE;B311
CABIATE;B313
CABRAS;B314
CACCAMO;B315
CACCURI;B319
CADEGLIANO VICONAGO;B326
CADELBOSCO DI SOPRA;B328
CADEO;B332
CADERZONE;B335
CADONEGHE;B345
CADORAGO;B346
CADREZZATE;B347
CAERANO DI SAN MARCO;B349
CAFASSE;B350
CAGGIANO;B351
CAGLI;B352
CAGLIARI;B354
CAGLIO;B355
CAGNANO AMITERNO;B358
CAGNANO VARANO;B357
CAGNO;B359
CAGNO';B360
CAIANELLO;B361
CAIAZZO;B362
CAINES;B364
CAINO;B365
CAIOLO;B366
CAIRANO;B367
CAIRATE;B368
CAIRO MONTENOTTE;B369
CAIVANO;B371
CALABRITO;B374
CALALZO DI CADORE;B375
CALAMANDRANA;B376
CALAMONACI;B377
CALANGIANUS;B378
CALANNA;B379
CALASCA CASTIGLIONE;B380
CALASCIBETTA;B381
CALASCIO;B382
CALASETTA;B383
CALATABIANO;B384
CALATAFIMI;B385
CALAVINO;B386
CALCATA;B388
CALCERANICA AL LAGO;B389
CALCI;B390
CALCIANO;B391
CALCINAIA;B392
CALCINATE;B393
CALCINATO;B394
CALCIO;B395
CALCO;B396
CALDAROLA;B398
CALDERARA DI RENO;B399
CALDES;B400
CALDIERO;B402
CALDOGNO;B403
CALDONAZZO;B404
CALENDASCO;B405
CALENZANO;B406
CALESTANO;B408
CALICE AL CORNOVIGLI;B410
CALICE LIGURE;B409
CALIMERA;B413
CALITRI;B415
CALIZZANO;B416
CALLABIANA;B417
CALLIANO;B418
CALLIANO;B419
CALOLZIOCORTE;B423
CALOPEZZATI;B424
CALOSSO;B425
CALOVETO;B426
CALTABELLOTTO;B427
CALTAGIRONE;B428
CALTANISETTA;B429
CALTAVUTURO;B430
CALTIGNAGA;B431
CALTO;B432
CALTRANO;B433
CALUSCO D'ADDA;B434
CALUSO;B435
CALVAGESE DELLA RIVI;B436
CALVANICO;B437
CALVATONE;B439
CALVELLO;B440
CALVENE;B441
CALVENZANO;B442
CALVERA;B443
CALVI;B444
CALVI DELL'UMBRIA;B446
CALVI RISORTA;B445
CALVIGNANO;B447
CALVIGNASCO;B448
CALVISANO;B450
CALVIZZANO;B452
