MACCAGNO;E775
MACCASTORNA;E777
MACCHIA D'ISERNIA;E778
MACCHIA VALFORTORE;E780
MACCHIAGODENA;E779
MACELLO;E782
MACERATA;E783
MACERATA CAMPANIA;E784
MACERATA FELTRIA;E785
MACHERIO;E786
MACLODIO;E787
MACOMER;E788
MACRA;E789
MACUGNAGA;E790
MADDALONI;E791
MADIGNANO;E793
MADONE;E794
MADONNA DEL SASSO;E795
MAENZA;E798
MAFALDA;E799
MAGASA;E800
MAGENTA;E801
MAGGIORA;E803
MAGHERNO;E804
MAGIONE;E805
MAGISANO;E806
MAGLIANO ALFIERI;E809
MAGLIANO ALPI;E808
MAGLIANO DE'MARSI;E811
MAGLIANO DI TENNA;E807
MAGLIANO IN TOSCANA;E810
MAGLIANO ROMANO;E813
MAGLIANO SABINA;E812
MAGLIANO VETERE;E814
MAGLIE;E815
MAGLIOLO;E816
MAGLIONE;E817
MAGNACAVALLO;E818
MAGNAGO;E819
MAGNANO;E821
MAGNANO IN RIVIERA;E820
MAGOMADAS;E825
MAGRE' SULLA STRADA DEL VINO;E829
MAGREGLIO;E830
MAIDA;E834
MAIERA';E835
MAIERATO;E836
MAIOLATI SPONTINI;E837
MAIOLO;E838
MAIORI;E839
MAIRAGO;E840
MAIRANO;E841
MAISSANA;E842
MAJANO;E833
MALAGNINO;E843
MALALBERGO;E844
MALBORGHETTO VALBRUNA;E847
MALCESINE;E848
MALE';E850
MALEGNO;E851
MALEO;E852
MALESCO;E853
MALETTO;E854
MALFA;E855
MALGESSO;E856
MALGRATE;E858
MALITO;E859
MALLARE;E609
MALLES VENOSTA;E862
MALNATE;E863
MALO;E864
MALONNO;E865
MALOSCO;E866
MALTIGNANO;E868
MALVAGNA;E869
MALVICINO;E870
MALVITO;E872
MAMMOIADA;E874
MAMMOLA;E873
MANCIANO;E875
MANDANICI;E876
MANDAS;E877
MANDATORICCIO;E878
MANDELA;B632
MANDELLO DEL LARIO;E879
MANDELLO VITTA;E880
MANDURIA;E882
MANERBA DEL GARDA;E883
MANERBIO;E884
MANFREDONIA;E885
MANGO;E887
MANGONE;E888
MANIAGO;E889
MANOCALZATI;E891
MANOPPELLO;E892
MANSUE';E893
MANTA;E894
