PABILLONIS;G207
PACE DEL MELA;G209
PACECO;G208
PACENTRO;G210
PACHINO;G211
PACIANO;G212
PADENGHE SUL GARDA;G213
PADERGNONE;G214
PADERNA;G215
PADERNO D'ADDA;G218
PADERNO DEL GRAPPA;G221
PADERNO DUGNANO;G220
PADERNO FRANCIACORTA;G217
PADERNO PONCHIELLI;G222
PADOVA;G224
PADRIA;G225
PADULA;G226
PADULI;G227
PAESANA;G228
PAESE;G229
PAGANI;G230
PAGANICO SABINO;G232
PAGAZZANO;G233
PAGLIARA;G234
PAGLIETA;G237
PAGNACCO;G238
PAGNO;G240
PAGNONA;G241
PAGO DEL VALLO DI LAURO;G242
PAGO VEIANO;G243
PAISCO LOVENO;G247
PAITONE;G248
PALADINA;G249
PALAGANO;G250
PALAGIANELLO;G251
PALAGIANO;G252
PALAGONIA;G253
PALAIA;G254
PALANZANO;G255
PALATA;G257
PALAU;G258
PALAZZAGO;G259
PALAZZO ADRIANO;G263
PALAZZO CANAVESE;G262
PALAZZO PIGNANO;G260
PALAZZO SAN GERVASIO;G261
PALAZZOLO ACREIDE;G267
PALAZZOLO DELLO STELLA;G268
PALAZZOLO SULL'OGLIO;G264
PALAZZOLO VERCELLESE;G266
PALAZZUOLO SUL SENIO;G270
PALENA;G271
PALERMITI;G272
PALERMO;G273
PALESTRINA;G274
PALESTRO;G275
PALIANO;G276
PALIZZI;G277
PALLAGORIO;G278
PALLANZENO;G280
PALLARE;G281
PALMA CAMPANIA;G283
PALMA DI MONTECHIARO;G282
PALMANOVA;G284
PALMARIGGI;G285
PALMAS ARBOREA;G286
PALMI;G288
PALMIANO;G289
PALMOLI;G290
PALO DEL COLLE;G291
PALOMBARA SABINA;G293
PALOMBARO;G294
PALOMONTE;G292
PALOSCO;G295
PALU';G297
PALU' DEL FERSINA;G296
PALUDI;G298
PALUZZA;G300
PAMPARATO;G302
PANCALIERI;G303
PANCARANA;G304
PANCHIA';G305
PANDINO;G306
PANETTIERI;G307
PANICALE;G308
PANNARANO;G311
PANNI;G312
PANTELLERIA;G315
PANTIGLIATE;G316
PAOLA;G317
PAOLISI;G318
PAPASIDERO;G320
PAPOZZE;G323
PARABIAGO;G324
PARABITA;G325
PARATICO;G327
PARCINES;G328
PARE';G329
PARELLA;G330
PARENTI;G331
PARETE;G333
PARETO;G334
PARGHELIA;G335
PARLASCO;G336
PARMA;G337
PARODI LIGURE;G338
PAROLDO;G339
PAROLISE;G340
PARONA;G342
PARRANO;G344
PARRE;G346
PARTANNA;G347
PARTINICO;G348
PARUZZARO;G349
PARZANICA;G350
PASIAN DI PRATO;G352
PASIANO DI PORDENONE;G353
PASPARDO;G354
PASSERANO MARMORITO;G358
PASSIGNANO SUL TRASIMENO;G359
PASSIRANO;G361
PASTENA;G362
PASTORANO;G364
PASTRENGO;G365
PASTURANA;G367
PASTURO;G368
PATERNO;G369
PATERNO CALABRO;G372
PATERNO';G371
PATERNOPOLI;G370
PATRICA;G374
PATTADA;G376
PATTI;G377
PATU';G378
PAU;G379
PAULARO;G381
PAULI ARBAREI;G382
PAULILATINO;G384
PAULLO;G385
PAUPISI;G386
PAVAROLO;G387
PAVIA;G388
PAVIA DI UDINE;G389
PAVONE CANAVESE;G392
PAVONE DEL MELLA;G391
PAVULLO NEL FRIGNANO;G393
PAZZANO;G394
PECCIOLI;G395
PECCO;G396
PECETTO DI VALENZA;G397
PECETTO TORINESE;G398
PECORARA;G399
PEDACE;G400
PEDARA;G402
PEDASO;G403
PEDAVENA;G404
PEDEMONTE;G406
PEDEROBBA;G408
PEDESINA;G410
PEDIVIGLIANO;G411
PEDRENGO;G412
PEGLIO;G415
PEGLIO;G416
PEGOGNAGA;G417
PEIA;G418
PEIO;G419
PELAGO;G420
PELLA;G421
PELLEGRINO PARMENSE;G424
PELLEZZANO;G426
PELLIO INTELVI;G427
PELLIZZANO;G428
PELUGO;G429
PENANGO;G430
PENNA IN TEVERINA;G432
PENNA SAN GIOVANNI;G436
PENNA SANT'ANDREA;G437
PENNABILLI;G433
PENNADOMO;G434
PENNAPIEDIMONTE;G435
PENNE;G438
PENTONE;G439
PERANO;G441
PERAROLO DI CADORE;G442
PERCA;G443
PERCILE;G444
PERDASDEFOGU;G445
PERDAXIUS;G446
PERDIFUMO;G447
PEREGO;G448
PERETO;G449
PERFUGAS;G450
PERGINE VALDARNO;G451
PERGINE VALSUGANA;G452
PERGOLA;G453
PERINALDO;G454
PERITO;G455
PERLEDO;G456
PERLETTO;G457
PERLO;G458
PERLOZ;G459
PERNUMIA;G461
PERO;C013
PEROSA ARGENTINA;G463
PEROSA CANAVESE;G462
PERRERO;G465
PERSICO DOSIMO;G469
PERTENGO;G471
PERTICA ALTA;G474
PERTICA BASSA;G475
PERTOSA;G476
PERTUSIO;G477
PERUGIA;G478
PESARO;G479
PESCAGLIA;G480
PESCANTINA;G481
PESCARA;G482
PESCAROLO ED UNITI;G483
PESCASSEROLI;G484
PESCATE;G485
PESCHE;G486
PESCHICI;G487
PESCHIERA BORROMEO;G488
PESCHIERA DEL GARDA;G489
PESCIA;G491
PESCINA;G492
PESCO SANNITA;G494
PESCOCOSTANZO;G493
PESCOLANCIANO;G495
PESCOPAGANO;G496
PESCOPENNATARO;G497
PESCOROCCHIANO;G498
PESCOSANSONESCO;G499
PESCOSOLIDO;G500
PESSANO CON BORNAGO;G502
PESSINA CREMONESE;G504
PESSINETTO;G505
PETACCIATO;G506
PETILLIA POLICASTRO;G508
PETINA;G509
PETRALIA SOPRANA;G510
PETRALIA SOTTANA;G511
PETRELLA SALTO;G513
PETRELLA TIFERNINA;G512
PETRIANO;G514
PETRIOLO;G515
PETRITOLI;G516
PETRIZZI;G517
PETRONA';G518
PETRURO IRPINO;G519
PETTENASCO;G520
PETTINENGO;G521
PETTINEO;G522
PETTORANELLO DEL MOLISE;G523
PETTORANO SUL GIZIO;G524
PETTORAZZA GRIMANI;G525
PEVERAGNO;G526
PEZZANA;G528
PEZZAZE;G529
PEZZOLO VALLE UZZONE;G532
PIACENZA;G535
PIACENZA D'ADIGE;G534
PIADENA;G536
PIAGGE;G537
PIAGGINE;G538
PIAN CAMUNO;G546
PIAN DI SCO;G552
PIANA CRIXIA;G542
PIANA DEGLI ALBANESI;G543
PIANA DI CAIAZZO;G541
PIANCASTAGNAIO;G547
PIANCOGNO;G549
PIANDIMELETO;G551
PIANE CRATI;G553
PIANELLA;G555
PIANELLO DEL LARIO;G556
PIANELLO VAL TIDONE;G557
PIANENGO;G558
PIANEZZA;G559
PIANEZZE;G560
PIANFEI;G561
PIANICO;G564
PIANIGA;G565
PIANO DI SORRENTO;G568
PIANOPOLI;D546
PIANORO;G570
PIANSANO;G571
PIANTEDO;G572
PIARIO;G574
PIASCO;G575
PIATEDA;G576
PIATTO;G577
PIAZZA AL SERCHIO;G582
PIAZZA ARMERINA;G580
PIAZZA BREMBANA;G579
PIAZZATORRE;G583
PIAZZOLA SUL BRENTA;G587
PIAZZOLO;G588
PICCIANO;G589
PICERNO;G590
PICINISCO;G591
PICO;G592
PIEA;G593
PIEDICAVALLO;G594
PIEDIMONTE ETNEO;G597
PIEDIMONTE MATESE;G596
PIEDIMONTE SAN GERMANO;G598
PIEDIMULERA;G600
PIEGARO;G601
PIENZA;G602
PIERANICA;G603
PIETRA DE'GIORGI;G612
PIETRA LIGURE;G605
PIETRA MARAZZI;G619
PIETRABBONDANTE;G606
PIETRABRUNA;G607
PIETRACAMELA;G608
PIETRACATELLA;G609
PIETRACUPA;G610
PIETRADEFUSI;G611
PIETRAFERRAZZANA;G613
PIETRAFITTA;G615
PIETRAGALLA;G616
PIETRALUNGA;G618
PIETRAMELARA;G620
PIETRAMONTECORVINO;G604
PIETRANICO;G621
PIETRAPAOLA;G622
PIETRAPERTOSA;G623
PIETRAPERZIA;G624
PIETRAPORZIO;G625
PIETRAROJA;G626
PIETRARUBBIA;G627
PIETRASANTA;G628
PIETRASTORNINA;G629
PIETRAVAIRANO;G630
PIETRELCINA;G631
PIEVE A NIEVOLE;G636
PIEVE ALBIGNOLA;G635
PIEVE D'ALPAGO;G638
PIEVE D'OLMI;G647
PIEVE DEL CAIRO;G639
PIEVE DI BONO;G641
PIEVE DI CADORE;G642
PIEVE DI CENTO;G643
PIEVE DI CORIANO;G633
PIEVE DI LEDRO;G644
PIEVE DI SOLIGO;G645
PIEVE DI TECO;G632
PIEVE EMANUELE;G634
PIEVE FISSIRAGA;G096
PIEVE FOSCIANA;G648
PIEVE LIGURE;G646
PIEVE PORTO MORONE;G650
PIEVE SAN GIACOMO;G651
PIEVE SANTO STEFANO;G653
