TACENO;L022
TADASUNI;L023
TAGGIA;L024
TAGLIACOZZO;L025
TAGLIO DI PO;L026
TAGLIOLO MONFERRATO;L027
TAIBON AGORDINO;L030
TAINO;L032
TAIO;L033
TAIPANA;G736
TALAMELLO;L034
TALAMONA;L035
TALANA;L036
TALEGGIO;L037
TALLA;L038
TALMASSONS;L039
TAMBRE;L040
TAORMINA;L042
TAPOGLIANO;L044
TARANO;L046
TARANTA PELIGNA;L047
TARANTASCA;L048
TARANTO;L049
TARCENTO;L050
TARQUINIA;D024
TARSIA;L055
TARTANO;L056
TARVISIO;L057
TARZO;L058
TASSAROLO;L059
TASSULLO;L060
TAURANO;L061
TAURASI;L062
TAURIANOVA;L063
TAURISANO;L064
TAVAGNACCO;L065
TAVAGNASCO;L066
TAVARNELLE VAL DI PE;L067
TAVAZZANO CON VILLAVESCO;F260
TAVENNA;L069
TAVERNA;L070
TAVERNERIO;L071
TAVERNOLA BERGAMASCA;L073
TAVERNOLE SUL MELLA;C698
TAVIANO;L074
TAVIGLIANO;L075
TAVOLETO;L078
TAVULLIA;L081
TEANA;L082
TEANO;L083
TEGGIANO;D292
TEGLIO;L084
TEGLIO VENETO;L085
TELESE;L086
TELGATE;L087
TELTI;L088
TELVE;L089
TELVE DI SOPRA;L090
TEMPIO PAUSANIA;L093
TEMU';L094
TENNA;L096
TENNO;L097
TEOLO;L100
TEOR;L101
TEORA;L102
TERAMO;L103
TERDOBBIATE;L104
TERELLE;L105
TERENTO;L106
TERENZO;E548
TERLAGO;L107
TERLANO;L108
TERLIZZI;L109
TERME VIGLIATORE;M210
TERMENO SULLA STRADA;L111
TERMINI IMERESE;L112
TERMOLI;L113
TERNATE;L115
TERNENGO;L116
TERNI;L117
TERNO D'ISOLA;L118
TERRACINA;L120
TERRAGNOLO;L121
TERRALBA;L122
TERRANOVA DA SIBARI;L124
TERRANOVA DEI PASSERINI;L125
TERRANOVA DI POLLINO;L126
TERRANOVA SAPPO MINU;L127
TERRANUOVA BRACCIOLI;L123
TERRASINI;L131
TERRASSA PADOVANA;L132
TERRAVECCHIA;L134
TERRAZZO;L136
TERRES;L137
TERRICCIOLA;L138
TERRUGGIA;L139
TERTENIA;L140
TERZIGNO;L142
TERZO;L143
TERZO D'AQUILEIA;L144
TERZOLAS;L145
TERZORIO;L146
TESERO;L147
TESIMO;L149
TESSENNANO;L150
TESTICO;L152
TETI;L153
TEULADA;L154
TEVEROLA;L155
TEZZE SUL BRENTA;L156
THIENE;L157
THIESI;L158
TIANA;L160
TIARNO DI SOPRA;L162
TIARNO DI SOTTO;L163
TICENGO;L164
TICINETO;L165
TIGGIANO;L166
TIGLIETO;L167
TIGLIOLE;L168
TIGNALE;L169
TINNURA;L172
TIONE DEGLI ABRUZZI;L173
TIONE DI TRENTO;L174
TIRANO;L175
TIRES;L176
TIRIOLO;L177
TIROLO;L178
TISSI;L180
TITO;L181
TIVOLI;L182
TIZZANO VAL PARMA;L183
TOANO;L184
TOCCO CAUDIO;L185
TOCCO DA CASAURIA;L186
