VACCARIZZO ALBANESE;L524
VACONE;L525
VACRI;L526
VADENA;L527
VADO LIGURE;L528
VAGLI SOTTO;L533
VAGLIA;L529
VAGLIO BASILICATA;L532
VAGLIO SERRA;L531
VAIANO;L537
VAIANO CREMASCO;L535
VAIE;L538
VAILATE;L539
VAIRANO PATENORA;L540
VAJONT;L000
VAL DELLA TORRE;L555
VAL DI NIZZA;L562
VAL DI VIZZE;L564
VAL MASINO;L638
VAL REZZO;H259
VALBONDIONE;L544
VALBREMBO;L545
VALBREVENNA;L546
VALBRONA;L547
VALDA;L550
VALDAGNO;L551
VALDAORA;L552
VALDASTICO;L554
VALDENGO;L556
VALDERICE;G319
VALDIDENTRO;L557
VALDIERI;L558
VALDINA;L561
VALDISOTTO;L563
VALDOBBIADENE;L565
VALDUGGIA;L566
VALEGGIO;L568
VALEGGIO SUL MINCIO;L567
VALENTANO;L569
VALENZA;L570
VALENZANO;L571
VALERA FRATTA;L572
VALFABBRICA;L573
VALFENERA;L574
VALFLORIANA;L575
VALFURVA;L576
VALGANNA;L577
VALGIOIE;L578
VALGOGLIO;L579
VALGRANA;L580
VALGREGHENTINO;L581
VALGRISANCHE;L582
VALGUARNERA CAROPEPE;L583
VALLADA AGORDINA;L584
VALLANZENGO;L586
VALLARSA;L588
VALLATA;L589
VALLE AGRICOLA;L594
VALLE AURINA;L595
VALLE CASTELLANA;L597
VALLE DELL'ANGELO;G540
VALLE DI CADORE;L590
VALLE DI CASIES;L601
VALLE DI MADDALONI;L591
VALLE LOMELLINA;L593
VALLE MOSSO;L606
VALLE SALIMBENE;L617
VALLE SAN NICOLAO;L620
VALLEBONA;L596
VALLECORSA;L598
VALLECROSIA;L599
VALLEDOLMO;L603
VALLEDORIA;L604
VALLEFIORITA;I322
VALLELONGA;L607
VALLELUNGA PRATAMENO;L609
VALLEMAIO;L605
VALLEPIETRA;L611
VALLERANO;L612
VALLERMOSA;L613
VALLEROTONDA;L614
VALLESACCARDA;L616
VALLEVE;L623
VALLI DEL PASUBIO;L624
VALLINFREDA;L625
VALLIO;L626
VALLO DELLA LUCANIA;L628
VALLO DI NERA;L627
VALLO TORINESE;L629
VALLORIATE;L631
VALMACCA;L633
VALMADRERA;L634
VALMALA;L636
VALMONTONE;L639
VALMOREA;L640
VALMOZZOLA;L641
VALNEGRA;L642
VALPELLINE;L643
VALPERGA;L644
VALPRATO SOANA;B510
VALSAVARANCHE;L647
VALSECCA;L649
VALSINNI;D513
VALSOLDA;C936
VALSTAGNA;L650
VALSTRONA;L651
VALTOPINA;L653
VALTORTA;L655
VALTOURNANCHE;L654
VALVA;L656
VALVASONE;L657
VALVERDE;L658
VALVERDE;L659
VALVESTINO;L468
VANDOIES;L660
VANZAGHELLO;L664
VANZAGO;L665
VANZONE CON SAN CARLO;L666
VAPRIO D'ADDA;L667
VAPRIO D'AGOGNA;L668
VARALLO;L669
VARALLO POMBIA;L670
VARANO BORGHI;L671
VARANO DE MELEGARI;L672
VARAPODIO;L673
VARAZZE;L675
VARCO SABINO;L676
VAREDO;L677
VARENA;L678
VARENNA;L680
VARESE;L682
VARESE LIGURE;L681
VARISELLA;L685
VARMO;L686
VARNA;L687
VARSI;L689
VARZI;L690
VARZO;L691
VAS;L692
VASANELLO;A701
VASIA;L693
VASTO;E372
VASTOGIRARDI;L696
VATTARO;L697
VAUDA CANAVESE;L698
VAZZANO;L699
VAZZOLA;L700
VECCHIANO;L702
VEDANO AL LAMBRO;L704
VEDANO OLONA;L703
